msisdn,called_number,call_start,call_end,duration_sec,imei,imsi,cell_id,lac,call_type,roaming_flag,serving_operator
9845012345,DATA_SESSION,2024-03-15 14:32:00,2024-03-15 14:40:00,480,490154203237518,404450920139481,BLR-KOR-001,56001,DATA,N,Airtel
+915020212115,+914659246077,2024-03-12 10:50:00,2024-03-12 10:58:19,499,354309420841484,40468925145481,BLR-JAY-001,56001,VOICE,N,Vi
+910109124865,+913107872322,2024-03-12 13:24:00,2024-03-12 13:33:01,541,351492997425353,40435867713109,BLR-WHITE-008,56001,VOICE,N,Airtel
+910272397102,+911179868783,2024-03-12 14:43:00,2024-03-12 14:47:19,259,352544428663301,40498528580973,BLR-JAY-002,56001,VOICE,N,Vi
+917880904037,+919391941921,2024-03-12 15:31:00,2024-03-12 15:31:21,21,354718676237846,40435767292390,BLR-WHITE-006,56001,VOICE,N,Airtel
+916582312333,+918388373701,2024-03-12 16:22:00,2024-03-12 16:25:20,200,357794872950005,40479703489539,BLR-MG-008,56001,VOICE,N,Vi
+913810706369,+912850927028,2024-03-12 18:56:00,2024-03-12 18:56:18,18,356110515483180,40421006154414,BLR-WHITE-004,56001,VOICE,N,Airtel
+915870222714,+917513871531,2024-03-12 21:32:00,2024-03-12 21:33:07,67,358772228710737,40419774175970,BLR-MG-009,56001,SMS,N,Airtel
+917768393295,+912649333185,2024-03-13 00:30:00,2024-03-13 00:32:50,170,354083834285919,40446768466843,BLR-WHITE-001,56001,SMS,N,Jio
+915230497231,+918902619831,2024-03-13 03:15:00,2024-03-13 03:22:54,474,353886982521847,40475142239027,BLR-IND-005,56001,VOICE,N,Vi
+918318574657,+919065826154,2024-03-13 05:04:00,2024-03-13 05:04:22,22,358701150029581,40424319111435,BLR-MG-009,56001,SMS,N,Airtel
+910708834910,+911596923559,2024-03-13 07:08:00,2024-03-13 07:12:16,256,355810656358656,40475768371008,BLR-WHITE-007,56001,VOICE,N,Vi
+913401173168,+919913851339,2024-03-13 08:37:00,2024-03-13 08:39:44,164,357543673084572,40423571842496,BLR-JAY-003,56001,SMS,N,Jio
+916985391531,+917103848927,2024-03-13 11:36:00,2024-03-13 11:39:55,235,354658509865667,40444160406352,BLR-IND-009,56001,SMS,N,Vi
+913820345321,+916879618939,2024-03-13 12:43:00,2024-03-13 12:45:35,155,356823676715165,40436319450254,BLR-IND-005,56001,SMS,N,Airtel
+914704632497,+918826516501,2024-03-13 14:06:00,2024-03-13 14:07:21,81,356050476826579,40410738313319,BLR-JAY-009,56001,VOICE,N,Airtel
+919191867794,+912120583891,2024-03-13 16:22:00,2024-03-13 16:24:16,136,352577304011989,40459035858298,BLR-MG-003,56001,VOICE,N,Airtel
+910231379478,+919149798130,2024-03-13 19:04:00,2024-03-13 19:09:40,340,355614814685900,40456779243451,BLR-WHITE-001,56001,SMS,N,Jio
+918532177604,+916410871193,2024-03-13 19:46:00,2024-03-13 19:52:57,417,359842906632731,40434839455049,BLR-WHITE-002,56001,SMS,N,Jio
+910715272675,+917511331379,2024-03-13 22:35:00,2024-03-13 22:37:25,145,351621140558255,40411310254674,BLR-WHITE-001,56001,VOICE,N,Jio
+919655540257,+912922680715,2024-03-14 01:32:00,2024-03-14 01:34:10,130,351656891242094,40424072650976,BLR-WHITE-002,56001,VOICE,N,Jio
+918926879484,+917789280729,2024-03-14 03:47:00,2024-03-14 03:49:46,166,354576706461200,40458647135210,BLR-IND-006,56001,SMS,N,Airtel
+915790143108,+913999637678,2024-03-14 05:18:00,2024-03-14 05:22:35,275,352468902990812,40426157556698,BLR-WHITE-004,56001,VOICE,N,Jio
+913092459270,+914827479542,2024-03-14 07:57:00,2024-03-14 08:06:12,552,352722451848640,40492369485884,BLR-IND-004,56001,SMS,N,Vi
+911283733446,+919338486104,2024-03-14 08:58:00,2024-03-14 09:01:53,233,354801160943909,40462327578302,BLR-JAY-004,56001,VOICE,N,Jio
+918654594469,+911182667688,2024-03-14 10:28:00,2024-03-14 10:29:57,117,354155240056465,40414636812695,BLR-MG-009,56001,SMS,N,Vi
+919798429194,+912463328201,2024-03-14 13:22:00,2024-03-14 13:25:17,197,359310000912486,40487487534053,BLR-WHITE-004,56001,VOICE,N,Airtel
+913386196952,+916621409548,2024-03-14 14:42:00,2024-03-14 14:47:10,310,354471821171603,40426001255484,BLR-MG-004,56001,VOICE,N,Jio
+918444166019,+914112683441,2024-03-14 17:29:00,2024-03-14 17:37:39,519,354472996793306,40491427557471,BLR-WHITE-002,56001,VOICE,N,Airtel
+918517276883,+919391577556,2024-03-14 19:17:00,2024-03-14 19:25:24,504,351720377905214,40462866994573,BLR-MG-003,56001,SMS,N,Vi
+911275983473,+916894447449,2024-03-14 21:54:00,2024-03-14 21:59:00,300,357312948461122,40410430794971,BLR-MG-007,56001,SMS,N,Airtel
+915443819067,+917604250653,2024-03-15 00:14:00,2024-03-15 00:19:52,352,352305840677041,40458560991181,BLR-JAY-002,56001,VOICE,N,Vi
+911899821980,+918058695905,2024-03-15 02:31:00,2024-03-15 02:39:13,493,359572564390217,40458433547868,BLR-WHITE-005,56001,VOICE,N,Airtel
+919700120263,+910451337787,2024-03-15 03:32:00,2024-03-15 03:34:31,151,356759189442311,40438056346059,BLR-IND-007,56001,SMS,N,Jio
+915693581622,+910306844381,2024-03-15 05:30:00,2024-03-15 05:30:25,25,355291352156546,40499641866509,BLR-MG-008,56001,SMS,N,Jio
+915438519728,+916773005454,2024-03-15 08:23:00,2024-03-15 08:23:47,47,356325196432396,40495247669982,BLR-IND-005,56001,SMS,N,Vi
